Mon:12:46:30, Humidity: 47.60, Temp: 74.70, TVOC: 2.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.445 ppm, 1.45, 0.46, 0.08, 0.28, 0.50, 0.16, 0.20, 4.92
Mon:12:46:31, Humidity: 47.59, Temp: 74.66, TVOC: 8.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 5.00
Mon:12:46:33, Humidity: 47.60, Temp: 74.64, TVOC: 6.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.445 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 5.00
Mon:12:46:33, Humidity: 47.60, Temp: 74.66, TVOC: 12.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.445 ppm, 1.45, 0.46, 0.08, 0.29, 0.50, 0.15, 0.20, 4.92
Mon:12:46:34, Humidity: 47.61, Temp: 74.64, TVOC: 9.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:46:35, Humidity: 47.61, Temp: 74.66, TVOC: 3.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.445 ppm, 1.45, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.91
Mon:12:46:36, Humidity: 47.60, Temp: 74.66, TVOC: 10.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.445 ppm, 1.46, 0.45, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:46:38, Humidity: 47.61, Temp: 74.66, TVOC: 6.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.444 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.88
Mon:12:46:39, Humidity: 47.62, Temp: 74.68, TVOC: 12.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.444 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:46:39, Humidity: 47.62, Temp: 74.62, TVOC: 12.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.445 ppm, 1.45, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:46:41, Humidity: 47.62, Temp: 74.60, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.84
Mon:12:46:42, Humidity: 47.63, Temp: 74.64, TVOC: 12.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.445 ppm, 1.45, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 4.90
Mon:12:46:44, Humidity: 47.62, Temp: 74.60, TVOC: 4.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.445 ppm, 1.44, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.88
