2019-05-28 17:52:38, 7, 0.26, 0.43, 0.18, 0.21, 4.92
2019-05-28 17:54:24, Humidity: 67.72, Temp: 58.89, TVOC: 6.00 ppb, eCOtwo: 438.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.42, 0.18, 0.20, 4.90
2019-05-28 17:54:24, Humidity: 67.70, Temp: 58.87, TVOC: 12.00 ppb, eCOtwo: 427.00 ppm, HCHO: 0.011 ppm, 0.87, 0.22, 0.07, 0.26, 0.43, 0.17, 0.19, 4.91
2019-05-28 17:54:24, Humidity: 67.68, Temp: 58.85, TVOC: 3.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.012 ppm, 0.88, 0.21, 0.06, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:54:25, Humidity: 67.67, Temp: 58.87, TVOC: 7.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.42, 0.18, 0.20, 4.90
2019-05-28 17:54:26, Humidity: 67.67, Temp: 58.85, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:54:29, Humidity: 67.66, Temp: 58.87, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.42, 0.18, 0.20, 4.84
2019-05-28 17:54:29, Humidity: 67.64, Temp: 58.81, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.19, 0.20, 4.84
2019-05-28 17:54:29, Humidity: 67.64, Temp: 58.85, TVOC: 3.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.42, 0.18, 0.20, 4.92
2019-05-28 17:54:30, Humidity: 67.65, Temp: 58.85, TVOC: 6.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.88
2019-05-28 17:54:31, Humidity: 67.64, Temp: 58.85, TVOC: 0.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.011 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:54:34, Humidity: 67.64, Temp: 58.85, TVOC: 0.00 ppb, eCOtwo: 444.00 ppm, HCHO: 0.011 ppm, 0.87, 0.22, 0.07, 0.25, 0.42, 0.18, 0.21, 4.91
2019-05-28 17:54:34, Humidity: 67.64, Temp: 58.83, TVOC: 9.00 ppb, eCOtwo: 453.00 ppm, HCHO: 0.011 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.84
2019-05-28 17:54:35, Humidity: 67.63, Temp: 58.87, TVOC: 3.00 ppb, eCOtwo: 444.00 ppm, HCHO: 0.011 ppm, 0.86, 0.22, 0.07, 0.24, 0.42, 0.18, 0.20, 4.91
2019-05-28 17:54:36, Humidity: 67.62, Temp: 58.83, TVOC: 0.00 ppb, eCOtwo: 439.00 ppm, HCHO: 0.011 ppm, 0.87, 0.22, 0.07, 0.24, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:54:37, Humidity: 67.63, Temp: 58.87, TVOC: 3.00 ppb, eCOtwo: 442.00 ppm, HCHO: 0.011 ppm, 0.86, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:54:40, Humidity: 67.64, Temp: 58.87, TVOC: 8.00 ppb, eCOtwo: 463.00 ppm, HCHO: 0.011 ppm, 0.86, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.94
