Mon:11:17:49,  0.48, 0.09, 0.30, 0.53, 0.17, 0.22, 4.93
Mon:11:19:12, Humidity: 46.38, Temp: 76.96, TVOC: 13.00 ppb, eCOtwo: 433.00 ppm, HCHO: 0.538 ppm, 1.51, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:19:13, Humidity: 46.39, Temp: 76.92, TVOC: 13.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.538 ppm, 1.50, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.94
Mon:11:19:15, Humidity: 46.39, Temp: 76.92, TVOC: 17.00 ppb, eCOtwo: 430.00 ppm, HCHO: 0.538 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:19:18, Humidity: 46.39, Temp: 76.92, TVOC: 13.00 ppb, eCOtwo: 430.00 ppm, HCHO: 0.538 ppm, 1.48, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.84
Mon:11:19:18, Humidity: 46.41, Temp: 76.96, TVOC: 16.00 ppb, eCOtwo: 433.00 ppm, HCHO: 0.538 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:19:18, Humidity: 46.39, Temp: 76.92, TVOC: 19.00 ppb, eCOtwo: 438.00 ppm, HCHO: 0.539 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.90
Mon:11:19:19, Humidity: 46.42, Temp: 76.94, TVOC: 18.00 ppb, eCOtwo: 440.00 ppm, HCHO: 0.540 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 5.00
Mon:11:19:20, Humidity: 46.43, Temp: 76.96, TVOC: 17.00 ppb, eCOtwo: 436.00 ppm, HCHO: 0.540 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.22, 4.88
Mon:11:19:23, Humidity: 46.41, Temp: 76.92, TVOC: 23.00 ppb, eCOtwo: 436.00 ppm, HCHO: 0.542 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.84
Mon:11:19:23, Humidity: 46.42, Temp: 76.92, TVOC: 19.00 ppb, eCOtwo: 451.00 ppm, HCHO: 0.543 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.84
Mon:11:19:23, Humidity: 46.45, Temp: 76.92, TVOC: 20.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.543 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:19:25, Humidity: 46.44, Temp: 76.92, TVOC: 19.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.545 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.84
Mon:11:19:26, Humidity: 46.45, Temp: 76.92, TVOC: 20.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.545 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.93
Mon:11:19:29, Humidity: 46.43, Temp: 76.92, TVOC: 16.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.546 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:19:29, Humidity: 46.45, Temp: 76.92, TVOC: 13.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.546 ppm, 1.50, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.84
Mon:11:19:29, Humidity: 46.46, Temp: 76.92, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.546 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.92
Mon:11:19:30, Humidity: 46.46, Temp: 76.94, TVOC: 10.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.545 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:19:31, Humidity: 46.46, Temp: 76.92, TVOC: 6.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.545 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.17, 0.21, 5.00
Mon:11:19:34, Humidity: 46.46, Temp: 76.92, TVOC: 8.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.545 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.94
Mon:11:19:35, Humidity: 46.47, Temp: 76.86, TVOC: 7.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.543 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:19:35, Humidity: 46.46, Temp: 76.90, TVOC: 15.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.543 ppm, 1.51, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.88
Mon:11:19:36, Humidity: 46.46, Temp: 76.90, TVOC: 9.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.542 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.88
Mon:11:19:37, Humidity: 46.46, Temp: 76.92, TVOC: 10.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.540 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.84
Mon:11:19:40, Humidity: 46.45, Temp: 76.92, TVOC: 5.00 ppb, eCOtwo: 427.00 ppm, HCHO: 0.539 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.17, 0.21, 4.90
Mon:11:19:40, Humidity: 46.46, Temp: 76.92, TVOC: 11.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.538 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:19:40, Humidity: 46.45, Temp: 76.92, TVOC: 8.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.538 ppm, 1.51, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.97
Mon:11:19:41, Humidity: 46.47, Temp: 76.92, TVOC: 6.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.536 ppm, 1.51, 0.46, 0.09, 0.30, 0.54, 0.16, 0.21, 4.93
Mon:11:19:42, Humidity: 46.46, Temp: 76.92, TVOC: 9.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.535 ppm, 1.50, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.89
Mon:11:19:45, Humidity: 46.47, Temp: 76.90, TVOC: 4.00 ppb, eCOtwo: 434.00 ppm, HCHO: 0.535 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:19:45, Humidity: 46.46, Temp: 76.86, TVOC: 14.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.533 ppm, 1.51, 0.46, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:19:46, Humidity: 46.48, Temp: 76.92, TVOC: 13.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.533 ppm, 1.51, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:19:47, Humidity: 46.47, Temp: 76.88, TVOC: 14.00 ppb, eCOtwo: 421.00 ppm, HCHO: 0.533 ppm, 1.48, 0.46, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:19:48, Humidity: 46.47, Temp: 76.90, TVOC: 6.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.533 ppm, 1.51, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:19:51, Humidity: 46.48, Temp: 76.92, TVOC: 8.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.532 ppm, 1.50, 0.47, 0.09, 0.30, 0.52, 0.16, 0.21, 5.00
Mon:11:19:51, Humidity: 46.49, Temp: 76.90, TVOC: 14.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.532 ppm, 1.51, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:19:51, Humidity: 46.49, Temp: 76.88, TVOC: 8.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.532 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.92
Mon:11:19:52, Humidity: 46.49, Temp: 76.92, TVOC: 2.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.532 ppm, 1.52, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.84
Mon:11:19:53, Humidity: 46.49, Temp: 76.90, TVOC: 8.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.532 ppm, 1.51, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.92
Mon:11:19:56, Humidity: 46.50, Temp: 76.92, TVOC: 9.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.532 ppm, 1.50, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:19:56, Humidity: 46.49, Temp: 76.92, TVOC: 9.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.532 ppm, 1.51, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.84
Mon:11:19:57, Humidity: 46.48, Temp: 76.86, TVOC: 11.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.532 ppm, 1.51, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:19:58, Humidity: 46.49, Temp: 76.90, TVOC: 1.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.532 ppm, 1.50, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.99
Mon:11:19:59, Humidity: 46.49, Temp: 76.90, TVOC: 6.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.532 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.20, 4.91
